,property_name,property_id,breadcrumbs,amount,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
30,ചേവായൂർ  chevarambalam,1770442618,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayur', 'ചേവായൂർ  chevarambalam']","₹ 25,000",https://apollo.olx.in:443/v1/files/pk70z3cqsy1c2-IN/image;s=850x0,3bhk attached ,Property hunt,"Chevayur, Kozhikode, Kerala",Houses & Villas,3,3
31,2 BHK SEMI FURNISHED FLAT FOR RENT AT ASHOKAPURAM,1765419648,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Ashokapuram', '2 BHK SEMI FURNISHED FLAT FOR RENT AT ASHOKAPURAM']","₹ 27,000",https://apollo.olx.in:443/v1/files/kt5uqkitxlbm-IN/image;s=850x0,Sea View 2 BHK Semi-Furnished Flat for Rent in Ashokapuram,Endless properties,"Ashokapuram, Kozhikode, Kerala",Apartments,2,2
32,House for rent @ Ngo Quaters Calicut,1760470417,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Paroppadi', 'House for rent @ Ngo Quaters Calicut']","₹ 30,000",https://apollo.olx.in:443/v1/files/z0jp270lp1cu1-IN/image;s=850x0,Near by silver hills school premium luxurious home,Sunil Kc,"Paroppadi, Kozhikode, Kerala",Houses & Villas,4+,4+
33,Flat for rent @ ashoka Puram,1760469764,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Ashokapuram', 'Flat for rent @ ashoka Puram']","₹ 22,000",https://apollo.olx.in:443/v1/files/kd6590u1fy5p-IN/image;s=850x0,Good looking flat center of Calicut city,Sunil Kc,"Ashokapuram, Kozhikode, Kerala",Apartments,2,2
34,New apartment for rent @ Karaparamb,1760469405,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', 'New apartment for rent @ Karaparamb']","₹ 18,000",https://apollo.olx.in:443/v1/files/wdzh9w347w1w2-IN/image;s=850x0,Newly constructed apartment,Sunil Kc,"Karaparamba, Kozhikode, Kerala",Apartments,3,3
35,House for rent @ Karaparamb,1760468733,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', 'House for rent @ Karaparamb']","₹ 15,000",https://apollo.olx.in:443/v1/files/a728n77t7jxt1-IN/image;s=850x0,Compound wall well water near by main road,Sunil Kc,"Karaparamba, Kozhikode, Kerala",Houses & Villas,3,3
36,House for rent @ Nadakkavu,1760468261,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', 'House for rent @ Nadakkavu']","₹ 30,000",https://apollo.olx.in:443/v1/files/9z35eujj91vv3-IN/image;s=850x0,New home fully furnished ac fridge washing machine etc compound wall species parking place well water and cooperation water gated community,Sunil Kc,"Nadakkavu, Kozhikode, Kerala",Houses & Villas,4,4+
37,Calicut beach apartments 3BHK rent rs 33000,1774593799,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Beach', 'Calicut beach apartments 3BHK rent rs 33000']","₹ 33,000",https://apollo.olx.in:443/v1/files/3nmlkkdmgc27-IN/image;s=850x0,It's 3BHK sea view apartment for rent in Calicut beach rs 33000 per month,Seashore Realtors,"Calicut Beach, Kozhikode, Kerala",Apartments,3,3
38,House for rent@ Karaparamb,1766580677,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', 'House for rent@ Karaparamb']","₹ 16,000",https://apollo.olx.in:443/v1/files/7nzqaiuk9apa3-IN/image;s=850x0,compound Wall we'll water near Karaparamb City,Sunil Kc,"Karaparamba, Kozhikode, Kerala",Houses & Villas,3,3
39,3bhk fully furnished flat for rent at Calicut,1620524254,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3bhk fully furnished flat for rent at Calicut']","₹ 35,000",https://apollo.olx.in:443/v1/files/m66zvpfmpizn1-IN/image;s=850x0,3bhk fully furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
